Designator,Mid X,Mid Y,Layer,Rotation
C1,-6.77,-1.45,Top,270.0
C2,-7.72,-2.86,Top,270.0
C3,-5.77,-2.93,Top,90.0
C4,-10.49,-3.73,Top,180.0
C6,-10.97,-2.03,Top,90.0
C7,11.03,-2.02,Top,90.0
C9,10.71,-3.77,Top,0.0
D/L, 8.00, 3.25,Top,270.0
KEY, 0.00,-0.98,Top,180.0
L1, 5.61,10.09,Top,180.0
LED, 5.46, 1.55,Top,270.0
PWD,-5.46, 1.32,Top,270.0
R1,10.96, 4.58,Top,90.0
R2,-10.96, 1.90,Top,90.0
R3,-10.96, 4.58,Top,90.0
R4,10.96, 1.90,Top,90.0
R7, 5.46, 4.70,Top,270.0
R8,-5.46, 4.57,Top,90.0
RST,-8.00, 3.25,Top,90.0
U$8, 0.00, 5.59,Top,90.0
U$9,-5.37,10.59,Top,180.0
U1, 6.74,-2.43,Top,90.0
USB1, 6.60,-9.75,Top,0.0
USB2,-6.60,-9.75,Top,0.0
Y1,-0.03,10.18,Top,270.0
Y2, 0.00,-7.42,Top,90.0
