Comment,Designator,Footprint,LCSC Part #
0.1uF,C1,C1,C106209
1uF,C6,C1,C14445
1uF,C7,C1,C14445
2.2uF,C2,C1,C326556
2.2uF,C3,C1,C326556
2.2uF,C4,C1,C326556
2.2uF,C9,C1,C326556
5.1K,R1,R0402,C105872
5.1K,R2,R0402,C105872
5.1K,R3,R0402,C105872
5.1K,R4,R0402,C105872
10kΩ,R7,R0402,C25744
10kΩ,R8,R0402,C25744
32.768K,Y2,XTAL700X315X230N,C3034396
629722000214,USB1,629722000214,C709357
629722000214,USB2,629722000214,C709357
ANTENNA,U$9,CAPCP3015X50N,C2900839
BUTTON,D/L,SOD8037X250N,C118141
BUTTON,KEY,SOD8037X250N,C118141
BUTTON,RST,SOD8037X250N,C118141
L1,L1,RESC3025X120N,C135235
LED,LED,CAPCP1005X40N,C434447
LED,PWD,CAPCP1005X40N,C434447
RISC-V,U$8,QFN40P400X400X75-29T280N,C3001175
U1,U1,SOT95P240X90-3N,C347376
Y1YSX211SL,Y1,OSCCC200X160X50N,C2682773
